adduser	3.137ubuntu1
libfyba-dev:arm64	4.1.1-11build1
libfyba0t64:arm64	4.1.1-11build1
libgbm-dev:arm64	25.2.8-0ubuntu0.24.04.2
libgbm1:arm64	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:arm64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:arm64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:arm64	1.10.3-2ubuntu0.1
libgd3:arm64	2.3.3-9ubuntu5
libgdal-dev	3.8.4+dfsg-3ubuntu3
libgdal34t64:arm64	3.8.4+dfsg-3ubuntu3
libgdbm-compat4t64:arm64	1.23-5.1build1
libgdbm6t64:arm64	1.23-5.1build1
libgdcm-dev	3.0.22-2.1ubuntu1
libgdcm3.0t64:arm64	3.0.22-2.1ubuntu1
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgeographiclib-dev	2.3-1build1
libgeographiclib26:arm64	2.3-1build1
libgeos-c1t64:arm64	3.12.1-3build1
libgeos-dev	3.12.1-3build1
libgeos3.12.1t64:arm64	3.12.1-3build1
libgeotiff-dev:arm64	1.7.1-5build1
libgeotiff5:arm64	1.7.1-5build1
libgflags-dev	2.2.2-2build1
libgflags2.2	2.2.2-2build1
libgfortran-13-dev:arm64	13.3.0-6ubuntu2~24.04.1
libgfortran5:arm64	14.2.0-4ubuntu2~24.04.1
libgif-dev:arm64	5.2.2-1ubuntu1.2
libgif7:arm64	5.2.2-1ubuntu1.2
libgirepository-1.0-1:arm64	1.80.1-1
libgirepository-2.0-0:arm64	2.80.0-6ubuntu3.8
libgl-dev:arm64	1.7.0-1build1
libgl1:arm64	1.7.0-1build1
libgl1-mesa-dev:arm64	25.2.8-0ubuntu0.24.04.2
libgl1-mesa-dri:arm64	25.2.8-0ubuntu0.24.04.2
libgl2ps1.4	1.4.2+dfsg1-2build1
libgles-dev:arm64	1.7.0-1build1
libgles1:arm64	1.7.0-1build1
libgles2:arm64	1.7.0-1build1
libglew-dev:arm64	2.2.0-4build1
libglew2.2:arm64	2.2.0-4build1
libglib2.0-0t64:arm64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglib2.0-dev:arm64	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8
libglu1-mesa:arm64	9.0.2-1.1build1
libglu1-mesa-dev:arm64	9.0.2-1.1build1
libglut-dev:arm64	3.4.0-1build1
libglut3.12:arm64	3.4.0-1build1
libglvnd-core-dev:arm64	1.7.0-1build1
libglvnd-dev:arm64	1.7.0-1build1
libglvnd0:arm64	1.7.0-1build1
libglx-dev:arm64	1.7.0-1build1
libglx-mesa0:arm64	25.2.8-0ubuntu0.24.04.2
libglx0:arm64	1.7.0-1build1
libgme0:arm64	0.6.3-7build1
libgmp10:arm64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:arm64	3.8.3-1.1ubuntu3.6
libgomp1:arm64	14.2.0-4ubuntu2~24.04.1
libgoogle-glog-dev	0.6.0-2.1build1
libgoogle-glog0v6t64	0.6.0-2.1build1
libgpg-error0:arm64	1.47-3build2.1
libgpgme11t64:arm64	1.18.0-4.1ubuntu4
libgphoto2-6t64:arm64	2.5.31-2.1ubuntu1.1
libgphoto2-dev:arm64	2.5.31-2.1ubuntu1.1
libgphoto2-l10n	2.5.31-2.1ubuntu1.1
libgphoto2-port12t64:arm64	2.5.31-2.1ubuntu1.1
libgpm2:arm64	1.20.7-11
libgprofng0:arm64	2.42-4ubuntu2.10
libgraphblas-dev:arm64	7.4.0+dfsg-1build1
libgraphblas7:arm64	7.4.0+dfsg-1build1
libgraphics-magick-perl	1.4+really1.3.42-1.1build3
libgraphicsmagick++-q16-12t64	1.4+really1.3.42-1.1build3
libgraphicsmagick++1-dev	1.4+really1.3.42-1.1build3
libgraphicsmagick-q16-3t64	1.4+really1.3.42-1.1build3
libgraphicsmagick1-dev	1.4+really1.3.42-1.1build3
libgraphite2-3:arm64	1.3.14-2ubuntu0.24.04.1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:arm64	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsm1:arm64	1.0.22-1build1
libgssapi-krb5-2:arm64	1.20.1-6ubuntu2.7
libgssrpc4t64:arm64	1.20.1-6ubuntu2.7
libgstreamer-plugins-base1.0-0:arm64	1.24.2-1ubuntu0.4
libgstreamer1.0-0:arm64	1.24.2-1ubuntu0.1
libgtest-dev:arm64	1.14.0-1
libgtk-3-0t64:arm64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgts-0.7-5t64:arm64	0.7.6+darcs121130-5.2build1
libgts-bin	0.7.6+darcs121130-5.2build1
libgts-dev:arm64	0.7.6+darcs121130-5.2build1
libgudev-1.0-0:arm64	1:238-5ubuntu1
libgusb2:arm64	0.4.8-1build2
libgvc6	2.42.2-9ubuntu0.1
libgvpr2:arm64	2.42.2-9ubuntu0.1
libharfbuzz0b:arm64	8.3.0-2build2
libhdf4-0-alt:arm64	4.2.16-4build1
libhdf4-alt-dev	4.2.16-4build1
libhdf5-103-1t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-cpp-103-1t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-dev	1.10.10+repack-3.1ubuntu4
libhdf5-fortran-102t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-100t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-cpp-100t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-fortran-100t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-mpi-dev	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-103-1t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-cpp-103-1t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-dev	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-fortran-102t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-100t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-cpp-100t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-hl-fortran-100t64:arm64	1.10.10+repack-3.1ubuntu4
libheif-dev:arm64	1.17.6-1ubuntu4.7
libheif-plugin-aomdec:arm64	1.17.6-1ubuntu4.7
libheif-plugin-aomenc:arm64	1.17.6-1ubuntu4.7
libheif1:arm64	1.17.6-1ubuntu4.7
libhogweed6t64:arm64	3.9.1-2.2build1.1
libhwasan0:arm64	14.2.0-4ubuntu2~24.04.1
libhwloc-dev:arm64	2.10.0-1build1
libhwloc-plugins:arm64	2.10.0-1build1
libhwloc15:arm64	2.10.0-1build1
libhwy-dev:arm64	1.0.7-8.1build1
libhwy1t64:arm64	1.0.7-8.1build1
libibus-1.0-5:arm64	1.5.29-2
libibus-1.0-dev:arm64	1.5.29-2
libibverbs-dev:arm64	50.0-2ubuntu0.2
libibverbs1:arm64	50.0-2ubuntu0.2
libice-dev:arm64	2:1.0.10-1build3
libice6:arm64	2:1.0.10-1build3
libicu-dev:arm64	74.2-1ubuntu3.1
libicu74:arm64	74.2-1ubuntu3.1
libidn12:arm64	1.42-1ubuntu0.1
libidn2-0:arm64	2.3.7-2build1.1
libiec61883-0:arm64	1.2.0-6build1
libijs-0.35:arm64	0.35-15.1build1
libimagequant0:arm64	2.18.0-1build1
libimath-3-1-29t64:arm64	3.1.9-3.1ubuntu2
libimath-dev:arm64	3.1.9-3.1ubuntu2
libinih1:arm64	55-1ubuntu2
libiniparser1:arm64	4.1-7ubuntu0.1
libinput-bin	1.25.0-1ubuntu3.6
libinput10:arm64	1.25.0-1ubuntu3.6
libintl-perl	1.33-1build3
libintl-xs-perl	1.33-1build3
libip4tc2:arm64	1.8.10-3ubuntu2
libip6tc2:arm64	1.8.10-3ubuntu2
libisl23:arm64	0.26-3build1.1
libisns0t64:arm64	0.101-0.3build3
libitm1:arm64	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0:arm64	1.9.21~dfsg-3ubuntu3
libjansson4:arm64	2.14-2build2
libjbig-dev:arm64	2.1-6.1ubuntu2
libjbig0:arm64	2.1-6.1ubuntu2
libjbig2dec0:arm64	0.20-1ubuntu0.24.04.1
libjcat1:arm64	0.2.3-1~ubuntu0.24.04.1
libjpeg-dev:arm64	8c-2ubuntu11
libjpeg-turbo8:arm64	2.1.5-2ubuntu2
libjpeg-turbo8-dev:arm64	2.1.5-2ubuntu2
libjpeg8:arm64	8c-2ubuntu11
libjpeg8-dev:arm64	8c-2ubuntu11
libjq1:arm64	1.7.1-3ubuntu0.24.04.2
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-hotkeys	0~20130707+git2d51e3a9+dfsg-2ubuntu2
libjs-jquery-isonscreen	1.2.0-1.1
libjs-jquery-metadata	12-4
libjs-jquery-tablesorter	1:2.31.3+dfsg1-3
libjs-jquery-throttle-debounce	1.1+dfsg.1-2
libjs-jquery-ui	1.13.2+dfsg-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c-dev:arm64	0.17-1build1
libjson-c5:arm64	0.17-1build1
libjson-glib-1.0-0:arm64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsoncpp-dev:arm64	1.9.5-6build1
libjsoncpp25:arm64	1.9.5-6build1
libjxl-dev:arm64	0.7.0-10.2ubuntu6.1
libjxl0.7:arm64	0.7.0-10.2ubuntu6.1
libjxr0t64:arm64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:arm64	1.20.1-6ubuntu2.7
libkadm5clnt-mit12:arm64	1.20.1-6ubuntu2.7
libkadm5srv-mit12:arm64	1.20.1-6ubuntu2.7
libkdb5-10t64:arm64	1.20.1-6ubuntu2.7
libkeyutils1:arm64	1.6.3-3build1
libklibc:arm64	2.0.13-4ubuntu0.2
libklu2:arm64	1:7.6.1+dfsg-1build1
libkml-dev:arm64	1.3.0-12build1
libkmlbase1t64:arm64	1.3.0-12build1
libkmlconvenience1t64:arm64	1.3.0-12build1
libkmldom1t64:arm64	1.3.0-12build1
libkmlengine1t64:arm64	1.3.0-12build1
libkmlregionator1t64:arm64	1.3.0-12build1
libkmlxsd1t64:arm64	1.3.0-12build1
libkmod2:arm64	31+20240202-2ubuntu7.2
libkrb5-3:arm64	1.20.1-6ubuntu2.7
libkrb5-dev:arm64	1.20.1-6ubuntu2.7
libkrb5support0:arm64	1.20.1-6ubuntu2.7
libksba8:arm64	1.6.6-1build1
liblab-gamut1:arm64	2.42.2-9ubuntu0.1
liblapack-dev:arm64	3.12.0-3build1.1
liblapack3:arm64	3.12.0-3build1.1
liblcms2-2:arm64	2.14-2ubuntu0.1
liblcms2-dev:arm64	2.14-2ubuntu0.1
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2:arm64	2.6.10+dfsg-0ubuntu0.24.04.1
libldl3:arm64	1:7.6.1+dfsg-1build1
liblept5:arm64	1.82.0-3build4
liblerc-dev:arm64	4.0.0+ds-4ubuntu2
liblerc4:arm64	4.0.0+ds-4ubuntu2
liblilv-0-0:arm64	0.24.22-1build1
libllvm18:arm64	1:18.1.3-1ubuntu1
libllvm20:arm64	1:20.1.2-0ubuntu1~24.04.3
liblmdb0:arm64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblsan0:arm64	14.2.0-4ubuntu2~24.04.1
libltdl-dev:arm64	2.4.7-7build1
libltdl7:arm64	2.4.7-7build1
liblttng-ctl0t64:arm64	2.13.11-2.1build4
liblttng-ust-common1t64:arm64	2.13.7-1.1ubuntu2
liblttng-ust-ctl5t64:arm64	2.13.7-1.1ubuntu2
liblttng-ust-dev:arm64	2.13.7-1.1ubuntu2
liblttng-ust-python-agent1t64:arm64	2.13.7-1.1ubuntu2
liblttng-ust1t64:arm64	2.13.7-1.1ubuntu2
liblvm2cmd2.03:arm64	2.03.16-3ubuntu3.2
liblz4-1:arm64	1.9.4-1build1.1
liblz4-dev:arm64	1.9.4-1build1.1
liblzma-dev:arm64	5.6.1+really5.4.5-1ubuntu0.3
liblzma5:arm64	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:arm64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:arm64	1:5.45-3build1
libmaxminddb0:arm64	1.9.1-1build1
libmbedcrypto7t64:arm64	2.28.8-1
libmbim-glib4:arm64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd-dev:arm64	1.1.0-2build1.1
libmd0:arm64	1.1.0-2build1.1
libmd4c0:arm64	0.4.8-1build1
libminizip-dev:arm64	1:1.3.dfsg-3.1ubuntu2.1
libminizip1t64:arm64	1:1.3.dfsg-3.1ubuntu2.1
libmm-glib0:arm64	1.23.4-0ubuntu2
libmnl0:arm64	1.0.5-2build1
libmodule-find-perl	0.16-2
libmodule-scandeps-perl	1.35-1ubuntu0.24.04.1
libmount-dev:arm64	2.39.3-9ubuntu6.5
libmount1:arm64	2.39.3-9ubuntu6.5
libmp3lame0:arm64	3.100-6build1
libmpc3:arm64	1.3.1-1build1.1
libmpfr6:arm64	4.2.1-1build1.1
libmpg123-0t64:arm64	1.32.5-1ubuntu1.1
libmspack0t64:arm64	0.11-1.1build1
libmtdev1t64:arm64	1.1.6-1.1build1
libmunge2:arm64	0.5.15-4ubuntu0.1
libmysofa1:arm64	1.3.2+dfsg-2ubuntu2
libmysqlclient-dev	8.0.46-0ubuntu0.24.04.3
libmysqlclient21:arm64	8.0.46-0ubuntu0.24.04.3
libnanoflann-dev	1.5.4+ds-1
libncurses6:arm64	6.4+20240113-1ubuntu2.1
libncursesw6:arm64	6.4+20240113-1ubuntu2.1
libnetcdf-dev	1:4.9.2-5ubuntu4
libnetcdf19t64:arm64	1:4.9.2-5ubuntu4
libnetfilter-conntrack3:arm64	1.0.9-6build1
libnetplan1:arm64	1.1.2-8ubuntu1~24.04.2
libnettle8t64:arm64	3.9.1-2.2build1.1
libnewt0.52:arm64	0.52.24-2ubuntu2
libnfnetlink0:arm64	1.0.2-2build1
libnftables1:arm64	1.0.9-1ubuntu0.1
libnftnl11:arm64	1.2.6-2build1
libnghttp2-14:arm64	1.59.0-1ubuntu0.4
libnl-3-200:arm64	3.7.0-0.3build1.1
libnl-3-dev:arm64	3.7.0-0.3build1.1
libnl-genl-3-200:arm64	3.7.0-0.3build1.1
libnl-route-3-200:arm64	3.7.0-0.3build1.1
libnl-route-3-dev:arm64	3.7.0-0.3build1.1
libnorm-dev:arm64	1.5.9+dfsg-3.1build1
libnorm1t64:arm64	1.5.9+dfsg-3.1build1
libnotify4:arm64	0.8.3-1build2
libnpth0t64:arm64	1.6-3.1build1
libnspr4:arm64	2:4.35-1.1build1
libnss-mdns:arm64	0.15.1-4build1
libnss-systemd:arm64	255.4-1ubuntu8.17
libnss3:arm64	2:3.98-1ubuntu0.2
libntfs-3g89t64:arm64	1:2022.10.3-1.2ubuntu3.2
libnuma-dev:arm64	2.0.18-1ubuntu0.24.04.1
libnuma1:arm64	2.0.18-1ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
liboctomap-dev:arm64	1.9.7+dfsg-3.1build3
liboctomap1.9t64:arm64	1.9.7+dfsg-3.1build3
libodbc2:arm64	2.3.12-1ubuntu0.24.04.1
libodbccr2:arm64	2.3.12-1ubuntu0.24.04.1
libodbcinst2:arm64	2.3.12-1ubuntu0.24.04.1
libode-dev	2:0.16.2-1.1build1
libode8t64	2:0.16.2-1.1build1
libogdi-dev	4.1.1+ds-3build1
libogdi4.1:arm64	4.1.1+ds-3build1
libogg0:arm64	1.3.5-3build1
libogre-1.9-dev	1.9.0+dfsg1-14.1build2
libogre-1.9.0t64:arm64	1.9.0+dfsg1-14.1build2
libomp-18-dev	1:18.1.3-1ubuntu1
libomp-dev:arm64	1:18.0-59~exp2
libomp5-18:arm64	1:18.1.3-1ubuntu1
libonig5:arm64	6.9.9-1build1
libopenal-data	1:1.23.1-4build1
libopenal1:arm64	1:1.23.1-4build1
libopencv-calib3d-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-calib3d406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-core-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-core406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-java	4.6.0+dfsg-13.1ubuntu1
libopencv-ml-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-ml406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-superres-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-superres406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-video-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-video406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-videoio-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-videoio406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-videostab-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-videostab406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv406-jni	4.6.0+dfsg-13.1ubuntu1
libopenexr-3-1-30:arm64	3.1.5-5.1build3
libopenexr-dev	3.1.5-5.1build3
libopengl-dev:arm64	1.7.0-1build1
libopengl0:arm64	1.7.0-1build1
libopeniscsiusr	2.1.9-3ubuntu5.4
libopenjp2-7:arm64	2.5.0-2ubuntu0.5
libopenjp2-7-dev:arm64	2.5.0-2ubuntu0.5
libopenmpi-dev:arm64	4.1.6-7ubuntu2
libopenmpi3t64:arm64	4.1.6-7ubuntu2
libopenmpt0t64:arm64	0.7.3-1.1build3
libopus0:arm64	1.4-1build1
liborc-0.4-0t64:arm64	1:0.4.38-1ubuntu0.1
liborocos-kdl-dev:arm64	1.5.1-4build1
liborocos-kdl1.5:arm64	1.5.1-4build1
libp11-kit0:arm64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:arm64	1.2.8-2ubuntu1.5
libpam-cap:arm64	1:2.66-5ubuntu2.4
libpam-modules:arm64	1.5.3-5ubuntu5.6
libpam-modules-bin	1.5.3-5ubuntu5.6
libpam-runtime	1.5.3-5ubuntu5.6
libpam-systemd:arm64	255.4-1ubuntu8.17
libpam0g:arm64	1.5.3-5ubuntu5.6
libpango-1.0-0:arm64	1.52.1+ds-1build1
libpangocairo-1.0-0:arm64	1.52.1+ds-1build1
libpangoft2-1.0-0:arm64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:arm64	1.1.29build1
libparted2t64:arm64	3.6-4build1
libparu0:arm64	1:7.6.1+dfsg-1build1
libpathplan4:arm64	2.42.2-9ubuntu0.1
libpcap0.8t64:arm64	1.10.4-4.1ubuntu3
libpci3:arm64	1:3.10.0-2build1
libpciaccess-dev:arm64	0.17-3ubuntu0.24.04.2
libpciaccess0:arm64	0.17-3ubuntu0.24.04.2
libpcre16-3:arm64	2:8.39-15build1
libpcre2-16-0:arm64	10.42-4ubuntu2.1
libpcre2-32-0:arm64	10.42-4ubuntu2.1
libpcre2-8-0:arm64	10.42-4ubuntu2.1
libpcre2-dev:arm64	10.42-4ubuntu2.1
libpcre2-posix3:arm64	10.42-4ubuntu2.1
libpcre3:arm64	2:8.39-15build1
libpcre3-dev:arm64	2:8.39-15build1
libpcre32-3:arm64	2:8.39-15build1
libpcrecpp0v5:arm64	2:8.39-15build1
libpcsclite1:arm64	2.0.3-1build1
libperl5.38t64:arm64	5.38.2-3.2ubuntu0.3
libpgm-5.3-0t64:arm64	5.3.128~dfsg-2.1build1
libpgm-dev:arm64	5.3.128~dfsg-2.1build1
libpipeline1:arm64	1.5.7-2
libpixman-1-0:arm64	0.42.2-1build1
libpkgconf3:arm64	1.8.1-2build1
libplacebo338:arm64	6.338.2-2build1
libplymouth5:arm64	24.004.60-1ubuntu7.2
libpmix-dev:arm64	5.0.1-4.1build1
libpmix2t64:arm64	5.0.1-4.1build1
libpng-dev:arm64	1.6.43-5ubuntu0.6
libpng-tools	1.6.43-5ubuntu0.6
libpng16-16t64:arm64	1.6.43-5ubuntu0.6
libpocketsphinx3:arm64	0.8.0+real5prealpha+1-15ubuntu5
libpoco-dev:arm64	1.11.0-4.1build2
libpocoactiverecord80t64:arm64	1.11.0-4.1build2
libpococrypto80t64:arm64	1.11.0-4.1build2
libpocodata80t64:arm64	1.11.0-4.1build2
libpocodatamysql80t64:arm64	1.11.0-4.1build2
libpocodataodbc80t64:arm64	1.11.0-4.1build2
libpocodatapostgresql80t64:arm64	1.11.0-4.1build2
libpocodatasqlite80t64:arm64	1.11.0-4.1build2
libpocoencodings80t64:arm64	1.11.0-4.1build2
libpocofoundation80t64:arm64	1.11.0-4.1build2
libpocojson80t64:arm64	1.11.0-4.1build2
libpocojwt80t64:arm64	1.11.0-4.1build2
libpocomongodb80t64:arm64	1.11.0-4.1build2
libpoconet80t64:arm64	1.11.0-4.1build2
libpoconetssl80t64:arm64	1.11.0-4.1build2
libpocoredis80t64:arm64	1.11.0-4.1build2
libpocoutil80t64:arm64	1.11.0-4.1build2
libpocoxml80t64:arm64	1.11.0-4.1build2
libpocozip80t64:arm64	1.11.0-4.1build2
libpolkit-agent-1-0:arm64	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0:arm64	124-2ubuntu1.24.04.3
libpoppler-dev:arm64	24.02.0-1ubuntu9.9
libpoppler-private-dev:arm64	24.02.0-1ubuntu9.9
libpoppler134:arm64	24.02.0-1ubuntu9.9
libpopt0:arm64	1.19+dfsg-1build1
libpostproc-dev:arm64	7:6.1.1-3ubuntu5
libpostproc57:arm64	7:6.1.1-3ubuntu5
libpq-dev	16.15-0ubuntu0.24.04.1
libpq5:arm64	16.15-0ubuntu0.24.04.1
libproc-processtable-perl:arm64	0.636-1build3
libproc2-0:arm64	2:4.0.4-4ubuntu3.2
libproj-dev:arm64	9.4.0-1build2
libproj25:arm64	9.4.0-1build2
libprotobuf-c1:arm64	1.4.1-1ubuntu4
libprotobuf-dev:arm64	3.21.12-8.2ubuntu0.3
libprotobuf-lite32t64:arm64	3.21.12-8.2ubuntu0.3
libprotobuf32t64:arm64	3.21.12-8.2ubuntu0.3
libprotoc-dev:arm64	3.21.12-8.2ubuntu0.3
libprotoc32t64:arm64	3.21.12-8.2ubuntu0.3
libproxy1v5:arm64	0.5.4-4build1
libpsl5t64:arm64	0.21.2-1.1build1
libpthread-stubs0-dev:arm64	0.4-1build3
libpugixml-dev:arm64	1.14-0.1build1
libpugixml1v5:arm64	1.14-0.1build1
libpulse-dev:arm64	1:16.1+dfsg1-2ubuntu10.1
libpulse-mainloop-glib0:arm64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:arm64	1:16.1+dfsg1-2ubuntu10.1
libpython3-dev:arm64	3.12.3-0ubuntu2.1
libpython3-stdlib:arm64	3.12.3-0ubuntu2.1
libpython3.12-dev:arm64	3.12.3-1ubuntu0.15
libpython3.12-minimal:arm64	3.12.3-1ubuntu0.15
libpython3.12-stdlib:arm64	3.12.3-1ubuntu0.15
libpython3.12t64:arm64	3.12.3-1ubuntu0.15
libqhull-dev:arm64	2020.2-6build1
libqhull-r8.0:arm64	2020.2-6build1
libqhull8.0:arm64	2020.2-6build1
libqhullcpp8.0:arm64	2020.2-6build1
libqmi-glib5:arm64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqrtr-glib0:arm64	1.2.2-1ubuntu4
libqt5charts5:arm64	5.15.13-1
libqt5concurrent5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5core5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5location5:arm64	5.15.13+dfsg-1
libqt5location5-plugins:arm64	5.15.13+dfsg-1
libqt5network5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5opengl5-dev:arm64	5.15.13+dfsg-1ubuntu1
libqt5opengl5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5positioning5:arm64	5.15.13+dfsg-1
libqt5positioning5-plugins:arm64	5.15.13+dfsg-1
libqt5positioningquick5:arm64	5.15.13+dfsg-1
libqt5printsupport5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5qml5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlworkerscript5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5quick5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5quickcontrols2-5:arm64	5.15.13+dfsg-1
libqt5quickparticles5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5quickshapes5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5quicktemplates2-5:arm64	5.15.13+dfsg-1
libqt5quicktest5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5quickwidgets5:arm64	5.15.13+dfsg-1ubuntu0.1
libqt5serialport5:arm64	5.15.13-1
libqt5sql5-sqlite:arm64	5.15.13+dfsg-1ubuntu1
libqt5sql5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5svg5:arm64	5.15.13-1
libqt5test5t64:arm64	5.15.13+dfsg-1ubuntu1
libqt5waylandclient5:arm64	5.15.13-1
libqt5waylandcompositor5:arm64	5.15.13-1
libqt5widgets5t64:arm64	5.15.13+dfsg-1ubuntu1
